,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,APPLE,ASUS,Avita,DELL,HP,Lenovo,MSI,Other_B,acer,AMD,Intel,M1,MediaTek,Qualcomm,Celeron Dual,Core i3,Core i5,Core i7,Core i9,M1,Other_P,Pentium Quad,Ryzen 3,Ryzen 5,Ryzen 7,Ryzen 9,DOS,Mac,Windows
0,10,2,1,0,1,1,0,1,,0,0,0,24990,32790,23,3.7,63,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,10,2,1,0,3,1,0,1.5,,0,0,0,19590,21325,8,3.6,1894,256,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,10,2,1,2,0,1,0,1,,0,0,0,19990,27990,28,3.7,1153,159,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,10,2,1,2,0,1,0,1,,0,0,0,21490,27990,23,3.7,1153,159,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,10,2,1,4,0,1,0,1,,0,0,0,24990,33490,25,3.7,1657,234,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,10,3,1,4,0,1,0,1,14,0,0,0,24990,33490,25,3.7,1657,234,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,10,2,1,0,1,0,0,1.5,14,0,0,0,20900,22825,8,3.9,1185,141,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7,10,2,1,0,1,1,0,1.5,,0,0,0,21896,0,0,3.9,219,18,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8,10,1,1,6,0,0,4,1.5,14,0,0,0,26899,27668,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
9,10,2,1,4,0,1,0,1.5,,1,0,0,31990,36990,13,4.2,76,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,10,2,1,0,1,1,0,1.5,15.6,0,0,0,34649,41990,17,2.3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,10,2,1,0,1,1,0,1.5,,0,0,0,38999,42705,8,3.8,65,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,10,2,1,0,1,1,0,1.5,15.6,0,0,0,39999,43999,9,3.1,8,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,10,3,1,7,0,0,2,1.5,,0,0,0,69990,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,,2,1,0,3,1,0,1.5,,0,0,0,26990,28990,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,,2,1,0,3,1,0,1.5,,0,0,0,22990,27990,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,,2,1,0,3,0,0,1.5,,0,0,0,21990,25990,15,3.5,31,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,10,3,1,0,1,0,2,1.5,14,0,0,0,58799,77990,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
18,10,2,1,0,1,0,0,1.5,14,0,0,0,49999,59000,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
19,10,2,1,0,3,0,4,1.5,,0,0,0,54990,89000,38,4.5,3190,414,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20,10,2,1,0,3,0,4,1.5,,0,0,0,59990,99999,40,4.5,1946,240,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
21,10,2,1,0,3,0,6,1.5,,0,0,0,93700,139000,32,4.5,259,47,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
22,10,2,1,0,3,0,4,1.5,,0,0,0,72990,99999,27,4.5,425,67,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
23,,2,1,0,3,1,0,1.5,,0,0,0,17490,23490,25,3.6,1120,196,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,,2,1,0,3,1,0,1.5,,0,0,0,22990,27990,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,11,2,1,4,0,1,0,1.5,,0,0,0,35990,42990,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
26,11,3,1,4,0,1,0,1.5,14,1,1,0,56490,64923,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
27,11,3,1,4,0,1,0,1.5,14,1,0,0,65390,76436,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28,,2,1,4,0,1,0,1,14,0,0,0,31999,38999,17,4,286,19,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
